architecture,target,event,occurrence,event_label,attempted_runs,event_matched_runs,actual_injections,not_reached_runs,matched_but_not_triggered_runs,drained_after_injection,faults_after_injection,no_result_runs,halt_recovered_runs,failure_probability_given_injection,fault_reasons,median_event_match_mission_ms,median_halt_start_after_event_ms,requested_duration_ms,median_actual_down_ms,median_drained_mission_ms,median_drained_completion_delta_ms,median_impact_ratio_drained,baseline_successes,baseline_attempts,baseline_failures,baseline_success_rate,baseline_median_ms,baseline_mean_ms,baseline_stdev_ms,baseline_mad_ms,baseline_noise_band_ms,drained_impact_exceeds_noise_band
DECOMPOSED_3CD,SAFETY,FILLER_DONE,1,after_first_bottle_fill,20,18,18,2,0,17,1,0,18,0.05555555555555555,TABLE_ALIGNMENT_TIMEOUT:1,3601.0280000000002,0.0,500,500.79904999999997,10188.0785,-4157.903000000002,-8.302537714478497,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,SAFETY,LID_DONE,1,after_first_bottle_lid,20,19,19,1,0,17,2,0,19,0.10526315789473684,TABLE_ALIGNMENT_TIMEOUT:2,5209.4102,0.0,500,500.9084,10177.6916,-4168.289900000002,-8.321461368984831,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,SAFETY,CAPPER_DONE,1,after_first_bottle_cap,20,17,17,3,0,17,0,0,17,0.0,,6767.7351,0.0,500,500.8806,10192.6351,-4153.346400000002,-8.292088773252551,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,SAFETY,LABELLER_DONE,1,after_first_bottle_label,20,17,17,3,0,17,0,0,17,0.0,,8975.7205,0.0,500,500.7608,10181.7491,-4164.232400000001,-8.315811461280516,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,SAFETY,UNLOADER_DONE,1,after_first_bottle_completion,20,15,15,5,0,15,0,0,0,0.0,,10095.287,0.0,500,95.7608,10189.9713,-4156.010200000002,-43.39991102831223,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,SAFETY,LOADER_DONE,2,after_second_bottle_admitted,20,16,16,4,0,16,0,0,16,0.0,,3590.4005500000003,0.0,500,500.48109999999997,10187.428899999999,-4158.552600000002,-8.309110174190398,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,SAFETY,CONVEYOR_DONE,2,after_second_bottle_transfer_to_rotary,20,18,18,2,0,17,1,0,18,0.05555555555555555,TABLE_ALIGNMENT_TIMEOUT:1,4621.961499999999,0.0,500,500.82325000000003,10189.6317,-4156.349800000002,-8.299035238479846,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,SAFETY,FILLER_DONE,2,after_second_bottle_fill,20,19,19,1,0,18,1,0,19,0.05263157894736842,TABLE_ALIGNMENT_TIMEOUT:1,6166.4407,0.0,500,500.5819,10187.808,-4158.173500000002,-8.306679686181225,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,SAFETY,TABLE_ALIGNED,3,after_third_confirmed_rotation,20,18,18,2,0,17,1,0,18,0.05555555555555555,TABLE_ALIGNMENT_TIMEOUT:1,6684.115,0.0,500,500.5514,10190.3089,-4155.672600000002,-8.30218954536937,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,SAFETY,TABLE_ALIGNED,5,after_fifth_confirmed_rotation,20,17,17,3,0,17,0,0,17,0.0,,8909.9263,0.0,500,500.7302,10182.9368,-4163.044700000002,-8.313947710763205,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
